2026-02-14 11:02:35.752 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 11:02:35.757 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T11:02:35.757074
2026-02-14 11:02:35.755 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 11:02:35.758 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:02:35.767 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 11:02:35.801 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T11:02:35.801564
2026-02-14 11:02:35.856 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:02:36.104 | WARNING  | app.auth.jwt:<module>:36 | JWT_SECRET_KEY not configured in environment. Using default key. Change JWT_SECRET_KEY in production!
2026-02-14 11:02:36.480 | WARNING  | app.auth.jwt:<module>:36 | JWT_SECRET_KEY not configured in environment. Using default key. Change JWT_SECRET_KEY in production!
2026-02-14 11:02:37.455 | INFO     | app.sentiment.strategies:__init__:137 | LexiconStrategy initialized
2026-02-14 11:02:37.462 | INFO     | app.sentiment.strategies:__init__:190 | PatternStrategy initialized
2026-02-14 11:02:37.464 | INFO     | app.sentiment.strategies:__init__:296 | StatisticalStrategy initialized
2026-02-14 11:02:37.465 | INFO     | app.sentiment.rules:__init__:125 | SentimentRulesEngine initialized
2026-02-14 11:02:37.476 | INFO     | app.sentiment.analyzer:__init__:37 | SentimentAnalyzer initialized
2026-02-14 11:02:37.662 | INFO     | app.sentiment.strategies:__init__:137 | LexiconStrategy initialized
2026-02-14 11:02:37.692 | INFO     | app.sentiment.strategies:__init__:190 | PatternStrategy initialized
2026-02-14 11:02:37.703 | INFO     | app.sentiment.strategies:__init__:296 | StatisticalStrategy initialized
2026-02-14 11:02:37.751 | INFO     | app.sentiment.rules:__init__:125 | SentimentRulesEngine initialized
2026-02-14 11:02:37.794 | INFO     | app.sentiment.analyzer:__init__:37 | SentimentAnalyzer initialized
2026-02-14 11:04:39.618 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 11:04:39.622 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 11:04:39.622 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 11:04:39.627 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 11:04:39.627 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 11:04:39.628 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 11:04:39.628 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T11:04:39.628653
2026-02-14 11:04:39.629 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:04:39.686 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 11:04:39.714 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 11:04:39.751 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 11:04:39.803 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
